mjd,seed,fs_hz,duration_s,noise_std,threshold_sigma,threshold,h0,f_gw_hz,tau_s,t0_s,snr_before,snr_after,gated_fraction
59942,152,4096,60,5e-23,8.0,4.002217435151428e-22,3.46e-21,200.0,0.3,30.0,69.41247157731571,7.997270957323133,0.007796223958333333
59942,153,4096,60,5e-23,8.0,3.9964321579319727e-22,3.46e-21,200.0,0.3,30.0,69.65822869495001,7.987530873104312,0.007767740885416667
59942,154,4096,60,5e-23,8.0,3.9939798968265635e-22,3.46e-21,200.0,0.3,30.0,70.3533028541868,7.9966836472627465,0.007722981770833333
59942,155,4096,60,5e-23,8.0,4.0093994509101465e-22,3.46e-21,200.0,0.3,30.0,70.21723722921692,7.995808982377432,0.007731119791666667
59942,156,4096,60,5e-23,8.0,3.9997075324055363e-22,3.46e-21,200.0,0.3,30.0,71.0618686707209,7.996813926528368,0.007698567708333334
59942,157,4096,60,5e-23,8.0,3.9976164036656414e-22,3.46e-21,200.0,0.3,30.0,70.67345145070462,7.985559193655174,0.007767740885416667
59942,158,4096,60,5e-23,8.0,4.000616293552546e-22,3.46e-21,200.0,0.3,30.0,69.7193464395156,7.99959489837941,0.007710774739583333
59942,159,4096,60,5e-23,8.0,4.011931846842883e-22,3.46e-21,200.0,0.3,30.0,70.23686371706836,7.991094503618096,0.00771484375
59942,160,4096,60,5e-23,8.0,4.0054370674936752e-22,3.46e-21,200.0,0.3,30.0,69.53758731182924,7.987235387439718,0.007784016927083333
59942,161,4096,60,5e-23,8.0,3.993458488764214e-22,3.46e-21,200.0,0.3,30.0,69.15155061389328,7.974983668928683,0.0077880859375
59942,162,4096,60,5e-23,8.0,3.997059356997751e-22,3.46e-21,200.0,0.3,30.0,69.32586322049644,7.985651210365387,0.00771484375
59942,163,4096,60,5e-23,8.0,4.003843402079757e-22,3.46e-21,200.0,0.3,30.0,68.36697871532843,7.99685654817004,0.007698567708333334
59942,164,4096,60,5e-23,8.0,4.0058761704149773e-22,3.46e-21,200.0,0.3,30.0,68.60904434729481,7.998942928860425,0.007682291666666666
59942,165,4096,60,5e-23,8.0,3.9966087769767322e-22,3.46e-21,200.0,0.3,30.0,69.6241544928418,7.999089989306715,0.007771809895833333
59942,166,4096,60,5e-23,8.0,3.993991639470464e-22,3.46e-21,200.0,0.3,30.0,68.68700424657588,7.996207638181773,0.00780029296875
59942,167,4096,60,5e-23,8.0,3.996262715594289e-22,3.46e-21,200.0,0.3,30.0,67.87659652989113,7.9932082526453705,0.00772705078125
59942,168,4096,60,5e-23,8.0,4.00032003674688e-22,3.46e-21,200.0,0.3,30.0,69.16717142549443,7.994746437510008,0.007722981770833333
59942,169,4096,60,5e-23,8.0,4.011907484950022e-22,3.46e-21,200.0,0.3,30.0,68.17347676727387,7.997204599574079,0.007674153645833333
59942,170,4096,60,5e-23,8.0,4.0042300042050344e-22,3.46e-21,200.0,0.3,30.0,69.93871896226541,7.982816201853244,0.007759602864583334
59942,171,4096,60,5e-23,8.0,3.998321661400019e-22,3.46e-21,200.0,0.3,30.0,68.62874961189976,7.9898049066314565,0.007706705729166667
59942,172,4096,60,5e-23,8.0,4.0061484317563537e-22,3.46e-21,200.0,0.3,30.0,67.71052118947404,7.974685934627734,0.0077555338541666664
59942,173,4096,60,5e-23,8.0,3.993178442166356e-22,3.46e-21,200.0,0.3,30.0,70.05011913350233,7.991245818578528,0.00780029296875
59942,174,4096,60,5e-23,8.0,3.9993989447254035e-22,3.46e-21,200.0,0.3,30.0,69.43529774312398,7.984032907778221,0.007779947916666667
59942,175,4096,60,5e-23,8.0,4.0024643805913073e-22,3.46e-21,200.0,0.3,30.0,68.33453809971822,7.993309769999132,0.0077473958333333336
59942,176,4096,60,5e-23,8.0,3.989102687112048e-22,3.46e-21,200.0,0.3,30.0,70.18523404468915,7.993827723035222,0.0078125
59942,177,4096,60,5e-23,8.0,4.0074337262277166e-22,3.46e-21,200.0,0.3,30.0,68.73580715713923,7.999467124017344,0.007784016927083333
59942,178,4096,60,5e-23,8.0,4.009479775474781e-22,3.46e-21,200.0,0.3,30.0,68.5291639720364,7.993287868351644,0.0076904296875
59942,179,4096,60,5e-23,8.0,4.001764689180822e-22,3.46e-21,200.0,0.3,30.0,71.54601679857463,7.994177819566328,0.007706705729166667
59942,180,4096,60,5e-23,8.0,3.998786715105013e-22,3.46e-21,200.0,0.3,30.0,69.83093412310546,7.998415218569335,0.007767740885416667
59942,181,4096,60,5e-23,8.0,4.0070826966746803e-22,3.46e-21,200.0,0.3,30.0,70.53019589594543,7.994749574434207,0.007759602864583334
59942,182,4096,60,5e-23,8.0,3.9949870350894002e-22,3.46e-21,200.0,0.3,30.0,68.5369986583453,7.971119940878479,0.00771484375
59942,183,4096,60,5e-23,8.0,3.9966245029243603e-22,3.46e-21,200.0,0.3,30.0,70.11680219783548,7.997778416252506,0.007710774739583333
59942,184,4096,60,5e-23,8.0,4.002705285609133e-22,3.46e-21,200.0,0.3,30.0,70.59165035016849,7.9907746168897855,0.007767740885416667
59942,185,4096,60,5e-23,8.0,3.9953264991427574e-22,3.46e-21,200.0,0.3,30.0,69.72110939115137,7.998504442800676,0.007609049479166667
59942,186,4096,60,5e-23,8.0,4.0006543285708684e-22,3.46e-21,200.0,0.3,30.0,69.52685179884699,7.999600278024466,0.007661946614583333
59942,187,4096,60,5e-23,8.0,4.0034171360190276e-22,3.46e-21,200.0,0.3,30.0,68.1979191130292,7.984732544826735,0.007759602864583334
59942,188,4096,60,5e-23,8.0,4.004495328557274e-22,3.46e-21,200.0,0.3,30.0,70.22155476574133,7.994363696387037,0.007743326822916666
59942,189,4096,60,5e-23,8.0,3.9886710843555967e-22,3.46e-21,200.0,0.3,30.0,68.37331038181084,7.9942519233831355,0.0077392578125
59942,190,4096,60,5e-23,8.0,4.0065308712059907e-22,3.46e-21,200.0,0.3,30.0,69.18374084972893,7.996938023362419,0.007731119791666667
59942,191,4096,60,5e-23,8.0,4.0090532153631876e-22,3.46e-21,200.0,0.3,30.0,68.95355854681908,7.997240595334118,0.007706705729166667
59942,192,4096,60,5e-23,8.0,4.001780811195613e-22,3.46e-21,200.0,0.3,30.0,68.7914308270387,7.999905314925522,0.0077392578125
59942,193,4096,60,5e-23,8.0,3.998601258125229e-22,3.46e-21,200.0,0.3,30.0,68.82177605693379,7.999555061729652,0.0077392578125
59942,194,4096,60,5e-23,8.0,4.0005648074592383e-22,3.46e-21,200.0,0.3,30.0,68.92498467225035,7.99778460209428,0.007674153645833333
59942,195,4096,60,5e-23,8.0,3.9963393805660253e-22,3.46e-21,200.0,0.3,30.0,68.17093771996169,7.995111675844886,0.0077555338541666664
59942,196,4096,60,5e-23,8.0,3.9953553565324785e-22,3.46e-21,200.0,0.3,30.0,69.7639384942326,7.9977210614443734,0.007763671875
59942,197,4096,60,5e-23,8.0,3.9997600990853627e-22,3.46e-21,200.0,0.3,30.0,69.7777469344141,7.998371713301181,0.007771809895833333
59942,198,4096,60,5e-23,8.0,4.0133216632086103e-22,3.46e-21,200.0,0.3,30.0,70.65044669006838,7.996986482713651,0.00770263671875
59942,199,4096,60,5e-23,8.0,4.010009109297036e-22,3.46e-21,200.0,0.3,30.0,67.89861909807955,7.993332831144048,0.007743326822916666
59942,200,4096,60,5e-23,8.0,4.0057300225509424e-22,3.46e-21,200.0,0.3,30.0,69.49042917103147,7.9989937870885015,0.007661946614583333
59942,201,4096,60,5e-23,8.0,3.9968131646541084e-22,3.46e-21,200.0,0.3,30.0,70.00642571784985,7.9945150938155365,0.0077555338541666664
59942,202,4096,60,5e-23,8.0,4.0008484185936537e-22,3.46e-21,200.0,0.3,30.0,68.7811690293097,7.9886486338654485,0.007706705729166667
59942,203,4096,60,5e-23,8.0,4.0039639456173126e-22,3.46e-21,200.0,0.3,30.0,68.85899494290149,7.996834271948609,0.007657877604166667
59942,204,4096,60,5e-23,8.0,3.9939273425709997e-22,3.46e-21,200.0,0.3,30.0,70.31030047601637,7.995142469695025,0.007820638020833333
59942,205,4096,60,5e-23,8.0,3.9896477792841675e-22,3.46e-21,200.0,0.3,30.0,68.91993097350894,7.999215740783576,0.00767822265625
59942,206,4096,60,5e-23,8.0,4.0012097266696863e-22,3.46e-21,200.0,0.3,30.0,68.6001396943684,7.993080369697387,0.007735188802083333
59942,207,4096,60,5e-23,8.0,3.984668855119832e-22,3.46e-21,200.0,0.3,30.0,69.4460047091319,7.9999166334388105,0.007759602864583334
59942,208,4096,60,5e-23,8.0,4.000053568475213e-22,3.46e-21,200.0,0.3,30.0,69.6892248331086,7.998174866575616,0.0077392578125
59942,209,4096,60,5e-23,8.0,4.0028575331231126e-22,3.46e-21,200.0,0.3,30.0,67.44438517390834,7.993516287300335,0.007759602864583334
59942,210,4096,60,5e-23,8.0,3.9974996129479407e-22,3.46e-21,200.0,0.3,30.0,69.4001872203701,7.998493902303931,0.007670084635416667
59942,211,4096,60,5e-23,8.0,3.997379154346051e-22,3.46e-21,200.0,0.3,30.0,67.92417898869171,7.999327488182592,0.0077473958333333336
59942,212,4096,60,5e-23,8.0,3.994925881702631e-22,3.46e-21,200.0,0.3,30.0,68.42386239216148,7.997169204352569,0.007731119791666667
59942,213,4096,60,5e-23,8.0,4.0012210274168828e-22,3.46e-21,200.0,0.3,30.0,69.36550260069477,7.996819925341302,0.007698567708333334
59942,214,4096,60,5e-23,8.0,4.001795055138925e-22,3.46e-21,200.0,0.3,30.0,68.96426793895748,7.998306872008081,0.00771484375
59942,215,4096,60,5e-23,8.0,3.990951124579644e-22,3.46e-21,200.0,0.3,30.0,69.26452779425189,7.9959080029804275,0.007722981770833333
59942,216,4096,60,5e-23,8.0,3.9937848832644427e-22,3.46e-21,200.0,0.3,30.0,69.0522086026507,7.989950024716439,0.007784016927083333
59942,217,4096,60,5e-23,8.0,3.996618214658383e-22,3.46e-21,200.0,0.3,30.0,69.7493801697985,7.9880050197862005,0.007743326822916666
59942,218,4096,60,5e-23,8.0,3.996916678704208e-22,3.46e-21,200.0,0.3,30.0,69.80474542415462,7.9958470836309505,0.0077555338541666664
59942,219,4096,60,5e-23,8.0,3.9994536655709234e-22,3.46e-21,200.0,0.3,30.0,68.45483874926437,7.995810381803306,0.0076904296875
59942,220,4096,60,5e-23,8.0,4.009372541337199e-22,3.46e-21,200.0,0.3,30.0,68.76402488146478,7.992817398236656,0.0076863606770833336
59942,221,4096,60,5e-23,8.0,4.0079278950928853e-22,3.46e-21,200.0,0.3,30.0,68.75157465924941,7.991758517141106,0.007710774739583333
59942,222,4096,60,5e-23,8.0,3.9960373210189884e-22,3.46e-21,200.0,0.3,30.0,69.71453939951455,7.994243233909446,0.007710774739583333
59942,223,4096,60,5e-23,8.0,3.998160699338161e-22,3.46e-21,200.0,0.3,30.0,67.9493192388756,7.986759860927024,0.007759602864583334
59942,224,4096,60,5e-23,8.0,3.9862734356850163e-22,3.46e-21,200.0,0.3,30.0,69.59268440179127,7.999888629862858,0.0077555338541666664
59942,225,4096,60,5e-23,8.0,3.994313990755976e-22,3.46e-21,200.0,0.3,30.0,70.28177289588373,7.9949698798032856,0.007706705729166667
59942,226,4096,60,5e-23,8.0,4.001947530211037e-22,3.46e-21,200.0,0.3,30.0,69.27245663530682,7.984995385512349,0.007722981770833333
59942,227,4096,60,5e-23,8.0,4.0013788302681182e-22,3.46e-21,200.0,0.3,30.0,69.06759539534863,7.988443322693778,0.0078084309895833336
59942,228,4096,60,5e-23,8.0,4.0004549495086653e-22,3.46e-21,200.0,0.3,30.0,69.12624336451937,7.984981890309562,0.00765380859375
59942,229,4096,60,5e-23,8.0,4.003814949530248e-22,3.46e-21,200.0,0.3,30.0,70.13405152965368,7.98682133425623,0.00777587890625
59942,230,4096,60,5e-23,8.0,3.988302467968863e-22,3.46e-21,200.0,0.3,30.0,68.33147645213096,7.980859053072168,0.007670084635416667
59942,231,4096,60,5e-23,8.0,3.9922232524859853e-22,3.46e-21,200.0,0.3,30.0,68.90149376655403,7.987948168463956,0.00775146484375
59942,232,4096,60,5e-23,8.0,3.990469724062183e-22,3.46e-21,200.0,0.3,30.0,68.93394489129513,7.999016203172588,0.0076944986979166664
59942,233,4096,60,5e-23,8.0,4.0004736547617037e-22,3.46e-21,200.0,0.3,30.0,69.92930155373095,7.992961921354819,0.00770263671875
59942,234,4096,60,5e-23,8.0,4.0025096182863087e-22,3.46e-21,200.0,0.3,30.0,68.00040744369561,7.999772771358809,0.0076171875
59942,235,4096,60,5e-23,8.0,3.9954897127591807e-22,3.46e-21,200.0,0.3,30.0,67.66504404298502,7.994587809631869,0.007706705729166667
59942,236,4096,60,5e-23,8.0,4.001799220616484e-22,3.46e-21,200.0,0.3,30.0,68.13686043388044,7.998430282124742,0.007666015625
59942,237,4096,60,5e-23,8.0,3.9971396479109603e-22,3.46e-21,200.0,0.3,30.0,69.22126418560143,7.990693073791607,0.007710774739583333
59942,238,4096,60,5e-23,8.0,4.009427665628376e-22,3.46e-21,200.0,0.3,30.0,67.82105726956628,7.988443320600963,0.00771484375
59942,239,4096,60,5e-23,8.0,4.002815736399048e-22,3.46e-21,200.0,0.3,30.0,68.18718729515115,7.9982835619372175,0.007796223958333333
59942,240,4096,60,5e-23,8.0,4.0000498934355247e-22,3.46e-21,200.0,0.3,30.0,68.45317970634676,7.995958101632699,0.00771484375
59942,241,4096,60,5e-23,8.0,4.008304701243263e-22,3.46e-21,200.0,0.3,30.0,68.65394777151913,7.989155970171961,0.0076904296875
59942,242,4096,60,5e-23,8.0,4.0003561237230643e-22,3.46e-21,200.0,0.3,30.0,68.66759853837038,7.994124093842813,0.00770263671875
59942,243,4096,60,5e-23,8.0,3.9995255901957405e-22,3.46e-21,200.0,0.3,30.0,71.28743250185454,7.980824762484704,0.0077555338541666664
59942,244,4096,60,5e-23,8.0,3.9998343422156654e-22,3.46e-21,200.0,0.3,30.0,70.15070363587506,7.988653285882322,0.007779947916666667
59942,245,4096,60,5e-23,8.0,4.009980859654721e-22,3.46e-21,200.0,0.3,30.0,70.88003751821033,7.999168015317001,0.00770263671875
59942,246,4096,60,5e-23,8.0,4.004308597912328e-22,3.46e-21,200.0,0.3,30.0,69.29720915607786,7.999800273760982,0.007759602864583334
59942,247,4096,60,5e-23,8.0,3.997151540057142e-22,3.46e-21,200.0,0.3,30.0,69.06957872727108,7.998618550983599,0.007759602864583334
59942,248,4096,60,5e-23,8.0,4.0023118758060106e-22,3.46e-21,200.0,0.3,30.0,68.76156427560831,7.997669446730147,0.0077473958333333336
59942,249,4096,60,5e-23,8.0,3.995148357695127e-22,3.46e-21,200.0,0.3,30.0,68.15261781206212,7.997637369110168,0.007796223958333333
59942,250,4096,60,5e-23,8.0,4.0031525427619517e-22,3.46e-21,200.0,0.3,30.0,68.34809916089337,7.995485199260301,0.007718912760416667
59942,251,4096,60,5e-23,8.0,3.996347756818282e-22,3.46e-21,200.0,0.3,30.0,69.55591224293616,7.994963206233919,0.007657877604166667
59942,252,4096,60,5e-23,8.0,3.988249009465286e-22,3.46e-21,200.0,0.3,30.0,68.55612675464688,7.99652644219258,0.0077555338541666664
59942,253,4096,60,5e-23,8.0,3.9922879842639226e-22,3.46e-21,200.0,0.3,30.0,68.79357440535959,7.987137993669362,0.007698567708333334
59942,254,4096,60,5e-23,8.0,3.9890653465190376e-22,3.46e-21,200.0,0.3,30.0,68.70913883261338,7.9932630068165365,0.007718912760416667
59942,255,4096,60,5e-23,8.0,3.996552458523974e-22,3.46e-21,200.0,0.3,30.0,69.42736423124265,7.9925029829008185,0.00772705078125
59942,256,4096,60,5e-23,8.0,3.99066536463396e-22,3.46e-21,200.0,0.3,30.0,70.36867883918782,7.992971671382916,0.007731119791666667
59942,257,4096,60,5e-23,8.0,4.004869840478085e-22,3.46e-21,200.0,0.3,30.0,68.6428722036808,7.976464952395122,0.0076904296875
59942,258,4096,60,5e-23,8.0,3.987713336278832e-22,3.46e-21,200.0,0.3,30.0,70.49167015834733,7.967386357518977,0.007763671875
59942,259,4096,60,5e-23,8.0,3.999865991893376e-22,3.46e-21,200.0,0.3,30.0,68.31392440007981,7.968501737022956,0.007706705729166667
59942,260,4096,60,5e-23,8.0,3.9994848781461736e-22,3.46e-21,200.0,0.3,30.0,68.69650416491936,7.993699199947325,0.007718912760416667
59942,261,4096,60,5e-23,8.0,3.9950549660707853e-22,3.46e-21,200.0,0.3,30.0,69.15054371759827,7.998218143308434,0.007710774739583333
59942,262,4096,60,5e-23,8.0,3.9969883029821676e-22,3.46e-21,200.0,0.3,30.0,69.44544276783351,7.997892887800499,0.00771484375
59942,263,4096,60,5e-23,8.0,4.008120902937383e-22,3.46e-21,200.0,0.3,30.0,69.09644686831528,7.999889425760836,0.007779947916666667
59942,264,4096,60,5e-23,8.0,4.007728604920938e-22,3.46e-21,200.0,0.3,30.0,68.60524927423374,7.999852098160689,0.007735188802083333
59942,265,4096,60,5e-23,8.0,4.00037146975553e-22,3.46e-21,200.0,0.3,30.0,68.65816161035143,7.997433724480846,0.0076863606770833336
59942,266,4096,60,5e-23,8.0,3.994418482367776e-22,3.46e-21,200.0,0.3,30.0,69.88856386240417,7.990317280210804,0.007759602864583334
59942,267,4096,60,5e-23,8.0,3.996890093834559e-22,3.46e-21,200.0,0.3,30.0,68.76288529491876,7.988842456040896,0.00771484375
59942,268,4096,60,5e-23,8.0,3.996801090945765e-22,3.46e-21,200.0,0.3,30.0,68.51410338198983,7.992420489036685,0.007771809895833333
59942,269,4096,60,5e-23,8.0,3.9965749515936315e-22,3.46e-21,200.0,0.3,30.0,69.25137093792414,7.976497217794887,0.007731119791666667
59942,270,4096,60,5e-23,8.0,3.9965239146918085e-22,3.46e-21,200.0,0.3,30.0,69.5820691421825,7.977943579460196,0.007710774739583333
59942,271,4096,60,5e-23,8.0,4.0020410738401556e-22,3.46e-21,200.0,0.3,30.0,68.85362656440816,7.999066881966613,0.007682291666666666
59942,272,4096,60,5e-23,8.0,4.005907312255839e-22,3.46e-21,200.0,0.3,30.0,68.50612049007333,7.9810342889899974,0.007743326822916666
59942,273,4096,60,5e-23,8.0,4.0002934370835117e-22,3.46e-21,200.0,0.3,30.0,69.47047456584713,7.999785738110742,0.007735188802083333
59942,274,4096,60,5e-23,8.0,3.999830534902351e-22,3.46e-21,200.0,0.3,30.0,68.78140606856415,7.998103491763384,0.007735188802083333
59942,275,4096,60,5e-23,8.0,4.003412105349527e-22,3.46e-21,200.0,0.3,30.0,68.51113881943466,7.997826582507585,0.0077555338541666664
59942,276,4096,60,5e-23,8.0,4.0001126404370926e-22,3.46e-21,200.0,0.3,30.0,68.88267729987237,7.994998230246331,0.0076904296875
59942,277,4096,60,5e-23,8.0,3.997322436912629e-22,3.46e-21,200.0,0.3,30.0,70.7558457796329,7.994288945354979,0.0077392578125
59942,278,4096,60,5e-23,8.0,4.003799471051123e-22,3.46e-21,200.0,0.3,30.0,69.51410899131965,7.998785759100667,0.007735188802083333
59942,279,4096,60,5e-23,8.0,4.006818618774781e-22,3.46e-21,200.0,0.3,30.0,68.4110329584893,7.995175499559638,0.007767740885416667
59942,280,4096,60,5e-23,8.0,4.0019763347058067e-22,3.46e-21,200.0,0.3,30.0,69.91216098193263,7.99928322528546,0.00780029296875
59942,281,4096,60,5e-23,8.0,3.9872419211126746e-22,3.46e-21,200.0,0.3,30.0,68.42759911871356,7.9930878898365565,0.007763671875
59942,282,4096,60,5e-23,8.0,4.0065438282044596e-22,3.46e-21,200.0,0.3,30.0,68.56281215536306,7.998145387631928,0.007698567708333334
59942,283,4096,60,5e-23,8.0,3.999324228915298e-22,3.46e-21,200.0,0.3,30.0,68.57619880362557,7.979948070806968,0.0078125
59942,284,4096,60,5e-23,8.0,4.009570978301375e-22,3.46e-21,200.0,0.3,30.0,69.6856005172976,7.998036083636312,0.007763671875
59942,285,4096,60,5e-23,8.0,4.00208293066091e-22,3.46e-21,200.0,0.3,30.0,67.82347503818959,7.986414129119353,0.007722981770833333
59942,286,4096,60,5e-23,8.0,3.998725823522027e-22,3.46e-21,200.0,0.3,30.0,69.6124485241992,7.990223264815363,0.0077392578125
59942,287,4096,60,5e-23,8.0,3.993362213553415e-22,3.46e-21,200.0,0.3,30.0,69.51232948254362,7.997198456730638,0.007763671875
59942,288,4096,60,5e-23,8.0,4.0134396567465835e-22,3.46e-21,200.0,0.3,30.0,69.26964386268752,7.998148372485818,0.007718912760416667
59942,289,4096,60,5e-23,8.0,4.0045486215020734e-22,3.46e-21,200.0,0.3,30.0,70.00211165804181,7.990734573030441,0.007718912760416667
59942,290,4096,60,5e-23,8.0,3.9989255180620762e-22,3.46e-21,200.0,0.3,30.0,70.94633020800806,7.996782022148363,0.007735188802083333
59942,291,4096,60,5e-23,8.0,3.997063914106226e-22,3.46e-21,200.0,0.3,30.0,68.95937604210168,7.998808378255533,0.007718912760416667
59942,292,4096,60,5e-23,8.0,3.9954535115291147e-22,3.46e-21,200.0,0.3,30.0,69.35904835087763,7.986514057422232,0.007718912760416667
59942,293,4096,60,5e-23,8.0,4.004225352376178e-22,3.46e-21,200.0,0.3,30.0,70.26052715643006,7.986642215468376,0.0077392578125
59942,294,4096,60,5e-23,8.0,3.9998998803140593e-22,3.46e-21,200.0,0.3,30.0,69.8440085120975,7.995749692889355,0.007735188802083333
59942,295,4096,60,5e-23,8.0,4.0027472062650435e-22,3.46e-21,200.0,0.3,30.0,69.36353211429457,7.996304866906032,0.007763671875
59942,296,4096,60,5e-23,8.0,3.9974271794095783e-22,3.46e-21,200.0,0.3,30.0,68.93936618654726,7.998397112533017,0.007718912760416667
59942,297,4096,60,5e-23,8.0,4.005681279832169e-22,3.46e-21,200.0,0.3,30.0,69.10998004973781,7.992947484434634,0.00775146484375
59942,298,4096,60,5e-23,8.0,4.0170037746174213e-22,3.46e-21,200.0,0.3,30.0,70.67226567316249,7.993218011263144,0.00770263671875
59942,299,4096,60,5e-23,8.0,3.993295001397368e-22,3.46e-21,200.0,0.3,30.0,68.72831079586442,7.9963424906918235,0.007674153645833333
59942,300,4096,60,5e-23,8.0,4.009841600317234e-22,3.46e-21,200.0,0.3,30.0,70.07866699112579,7.9970499193712765,0.007722981770833333
59942,301,4096,60,5e-23,8.0,4.002276264939327e-22,3.46e-21,200.0,0.3,30.0,68.27067988359387,7.996018865073847,0.0076944986979166664
59942,302,4096,60,5e-23,8.0,4.0019561452486377e-22,3.46e-21,200.0,0.3,30.0,69.64677935488444,7.991351846982709,0.0076944986979166664
59942,303,4096,60,5e-23,8.0,3.993764177228233e-22,3.46e-21,200.0,0.3,30.0,70.20563215143774,7.999814717189318,0.007600911458333333
59942,304,4096,60,5e-23,8.0,3.9991942197637577e-22,3.46e-21,200.0,0.3,30.0,68.60609767011483,7.999864511174441,0.007682291666666666
59942,305,4096,60,5e-23,8.0,4.009068591559696e-22,3.46e-21,200.0,0.3,30.0,68.26890777676812,7.997430008570285,0.007722981770833333
59942,306,4096,60,5e-23,8.0,4.0027278217687523e-22,3.46e-21,200.0,0.3,30.0,68.96675712082553,7.999423290004673,0.007743326822916666
59942,307,4096,60,5e-23,8.0,4.00235231682417e-22,3.46e-21,200.0,0.3,30.0,69.03043205372423,7.998595346764752,0.0077392578125
59942,308,4096,60,5e-23,8.0,4.00511682767752e-22,3.46e-21,200.0,0.3,30.0,68.51681440539936,7.989880205506146,0.00775146484375
